timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-06 21:24:00+00:00,ETH,1816.53,1816.19677734375,1813.42,DOWN,DOWN,0.5147,NEUTRAL,True,148.83
2026-07-06 21:29:00+00:00,ETH,1813.42,1812.76416015625,1813.41,DOWN,DOWN,0.5289,NEUTRAL,True,153.13
2026-07-06 21:34:00+00:00,ETH,1813.41,1815.2147216796875,1811.5,UP,DOWN,0.5786,NEUTRAL,False,141.09
2026-07-06 21:39:00+00:00,ETH,1811.5,1812.645263671875,1814.29,UP,UP,0.5503,NEUTRAL,True,148.19
2026-07-06 21:44:00+00:00,ETH,1814.29,1812.586669921875,1813.73,DOWN,DOWN,0.5742,NEUTRAL,True,159.19
2026-07-06 21:49:00+00:00,ETH,1813.73,1811.1773681640625,1816.04,DOWN,UP,0.6097,NEUTRAL,False,141.72
2026-07-06 21:54:00+00:00,ETH,1816.04,1818.816650390625,1814.88,UP,DOWN,0.6186,UP,False,124.92
2026-07-06 21:59:00+00:00,ETH,1814.88,1817.6500244140625,1814.3,UP,DOWN,0.6184,NEUTRAL,False,110.13
2026-07-06 22:04:00+00:00,ETH,1814.3,1820.1085205078125,1812.93,UP,DOWN,0.726,NEUTRAL,False,85.24
2026-07-06 22:09:00+00:00,ETH,1812.93,1811.3740234375,1814.12,DOWN,UP,0.568,NEUTRAL,False,79.44
2026-07-06 22:14:00+00:00,ETH,1814.12,1813.87451171875,1813.05,DOWN,DOWN,0.5108,NEUTRAL,True,80.3
2026-07-06 22:19:00+00:00,ETH,1813.05,1815.863037109375,1811.94,UP,DOWN,0.6203,NEUTRAL,False,70.64
2026-07-06 22:24:00+00:00,ETH,1811.94,1813.315185546875,1809.31,UP,DOWN,0.5603,DOWN,False,66.38
2026-07-06 22:29:00+00:00,ETH,1809.31,1807.553955078125,1807.34,DOWN,DOWN,0.5767,DOWN,True,71.47
2026-07-06 22:34:00+00:00,ETH,1807.34,1806.6806640625,1809.18,DOWN,UP,0.5291,DOWN,False,69.39
2026-07-06 22:39:00+00:00,ETH,1809.18,1807.2843017578125,1808.12,DOWN,DOWN,0.5826,NEUTRAL,True,75.12
2026-07-06 22:44:00+00:00,ETH,1808.12,1808.1546630859375,1808.54,UP,UP,0.5015,NEUTRAL,True,75.24
2026-07-06 22:49:00+00:00,ETH,1808.54,1806.019775390625,1805.72,DOWN,DOWN,0.6087,NEUTRAL,True,83.41
2026-07-06 22:54:00+00:00,ETH,1805.72,1805.5185546875,1806.3,DOWN,UP,0.5089,NEUTRAL,False,82.67
2026-07-06 22:59:00+00:00,ETH,1806.3,1806.1597900390625,1808.56,DOWN,UP,0.5062,NEUTRAL,False,82.16
2026-07-06 23:04:00+00:00,ETH,1808.56,1806.6627197265625,1806.29,DOWN,DOWN,0.5827,UP,True,88.95
2026-07-06 23:09:00+00:00,ETH,1806.29,1807.3201904296875,1808.41,UP,UP,0.5454,NEUTRAL,True,92.99
2026-07-06 23:14:00+00:00,ETH,1808.41,1813.88623046875,1806.01,UP,DOWN,0.7164,NEUTRAL,False,72.87
2026-07-06 23:19:00+00:00,ETH,1806.01,1805.3885498046875,1802.77,DOWN,DOWN,0.5275,DOWN,True,74.87
2026-07-06 23:24:00+00:00,ETH,1802.77,1804.2008056640625,1803.51,UP,UP,0.563,DOWN,True,79.59
2026-07-06 23:29:00+00:00,ETH,1803.51,1806.8460693359375,1803.18,UP,DOWN,0.6416,DOWN,False,68.32
2026-07-06 23:34:00+00:00,ETH,1803.18,1806.1522216796875,1802.17,UP,DOWN,0.6273,NEUTRAL,False,59.62
2026-07-06 23:39:00+00:00,ETH,1802.17,1803.1884765625,1800.44,UP,DOWN,0.545,NEUTRAL,False,56.94
2026-07-06 23:44:00+00:00,ETH,1800.44,1803.092529296875,1800.72,UP,UP,0.6146,DOWN,True,63.46
2026-07-06 23:49:00+00:00,ETH,1800.72,1800.5714111328125,1800.7,DOWN,DOWN,0.5066,DOWN,True,63.88
2026-07-06 23:54:00+00:00,ETH,1800.7,1801.15087890625,1799.56,UP,DOWN,0.52,NEUTRAL,False,62.61
